"city","time","temp","humidity","weather_description","wind_speed","clouds","precipitation_prob","rain","partition_id"
"Atlanta","2025-08-26 21:00:00","81.97","25","broken clouds","7.99","79","0.0",,"forecast"
"Atlanta","2025-08-25 03:00:00","76.87","76","light rain","4.36","71","1.0","1.03","forecast"
"Atlanta","2025-08-24 21:00:00","90.64","38","broken clouds","0.83","54","0.0",,"forecast"
"Atlanta","2025-08-22 18:00:00","72.97","74","light rain","5.91","93","1.0","2.67","forecast"
"Atlanta","2025-08-24 03:00:00","71.22","94","scattered clouds","5.41","41","0.0",,"forecast"
"Atlanta","2025-08-24 21:00:00","90.73","36","few clouds","4.03","23","0.0",,"forecast"
"Atlanta","2025-08-27 06:00:00","69.57","46","broken clouds","6.76","69","0.0",,"forecast"
"Atlanta","2025-08-23 12:00:00","70.92","90","overcast clouds","7.07","96","0.0",,"forecast"
"Atlanta","2025-08-26 15:00:00","71.38","37","overcast clouds","6.38","99","0.0",,"forecast"
"Atlanta","2025-08-23 03:00:00","73.44","89","overcast clouds","7.29","100","0.0",,"forecast"
"Atlanta","2025-08-23 03:00:00","72.0","90","light rain","5.97","100","1.0","1.91","forecast"
"Atlanta","2025-08-24 12:00:00","70.03","87","overcast clouds","4.34","97","0.0",,"forecast"
"Atlanta","2025-08-23 12:00:00","71.06","92","overcast clouds","6.42","100","0.0",,"forecast"
"Atlanta","2025-08-26 21:00:00","81.41","32","overcast clouds","9.37","97","0.0",,"forecast"
"Atlanta","2025-08-24 21:00:00","84.67","50","overcast clouds","4.63","88","0.32",,"forecast"
"Atlanta","2025-08-23 09:00:00","70.65","94","overcast clouds","5.91","96","0.0",,"forecast"
"Atlanta","2025-08-26 00:00:00","81.37","33","few clouds","11.39","22","0.0",,"forecast"
"Atlanta","2025-08-24 00:00:00","75.99","81","light rain","5.68","92","1.0","2.8","forecast"
"Atlanta","2025-08-22 09:00:00","70.88","87","broken clouds","3.4","77","0.01",,"forecast"
"Atlanta","2025-08-26 03:00:00","74.66","41","clear sky","10.76","8","0.0",,"forecast"
"Atlanta","2025-08-26 12:00:00","68.11","43","overcast clouds","4.68","93","0.0",,"forecast"
"Atlanta","2025-08-23 21:00:00","81.19","67","light rain","6.82","63","1.0","1.68","forecast"
"Atlanta","2025-08-23 00:00:00","75.45","88","moderate rain","5.64","100","1.0","5.86","forecast"
"Atlanta","2025-08-27 09:00:00","65.46","50","clear sky","3.62","7","0.0",,"forecast"
"Atlanta","2025-08-24 00:00:00","73.99","88","light rain","5.93","97","1.0","2.06","forecast"
"Atlanta","2025-08-25 06:00:00","74.52","76","clear sky","5.95","6","0.07",,"forecast"
"Atlanta","2025-08-23 15:00:00","77.16","74","light rain","7.2","96","0.2","0.19","forecast"
"Atlanta","2025-08-27 06:00:00","68.32","44","overcast clouds","6.55","87","0.0",,"forecast"
"Atlanta","2025-08-24 18:00:00","84.2","53","overcast clouds","2.98","95","0.18",,"forecast"
"Atlanta","2025-08-25 12:00:00","71.29","68","clear sky","6.76","1","0.0",,"forecast"
"Atlanta","2025-08-22 12:00:00","69.71","88","broken clouds","5.19","71","0.0",,"forecast"
"Atlanta","2025-08-26 06:00:00","68.86","49","broken clouds","7.16","68","0.0",,"forecast"
"Atlanta","2025-08-25 18:00:00","86.45","25","clear sky","9.95","9","0.0",,"forecast"
"Atlanta","2025-08-25 15:00:00","78.03","45","clear sky","8.88","0","0.0",,"forecast"
"Atlanta","2025-08-24 06:00:00","71.49","93","overcast clouds","6.49","96","0.18",,"forecast"
"Atlanta","2025-08-23 03:00:00","71.74","91","moderate rain","6.24","100","1.0","3.57","forecast"
"Atlanta","2025-08-23 18:00:00","83.73","54","light rain","5.91","82","0.2","0.13","forecast"
"Atlanta","2025-08-26 00:00:00","79.02","31","scattered clouds","10.29","30","0.0",,"forecast"
"Atlanta","2025-08-25 09:00:00","71.82","73","clear sky","8.1","0","0.0",,"forecast"
"Atlanta","2025-08-24 18:00:00","88.27","41","clear sky","2.59","10","0.0",,"forecast"
"Atlanta","2025-08-26 12:00:00","68.18","42","scattered clouds","7.0","44","0.0",,"forecast"
"Atlanta","2025-08-25 09:00:00","71.29","86","clear sky","5.64","5","0.0",,"forecast"
"Atlanta","2025-08-25 06:00:00","73.22","89","light rain","4.88","66","0.81","0.55","forecast"
"Atlanta","2025-08-22 21:00:00","80.56","73","light rain","6.55","97","1.0","1.9","forecast"
"Atlanta","2025-08-24 03:00:00","73.51","89","overcast clouds","5.93","90","0.35",,"forecast"
"Atlanta","2025-08-22 15:00:00","72.41","83","light rain","7.07","86","1.0","2.38","forecast"
"Atlanta","2025-08-23 00:00:00","66.34","89","light rain","5.84","100","1.0","2.3","forecast"
"Atlanta","2025-08-25 03:00:00","75.67","84","light rain","4.36","100","0.85","0.71","forecast"
"Atlanta","2025-08-26 18:00:00","80.92","32","overcast clouds","6.42","100","0.0",,"forecast"
"Atlanta","2025-08-26 06:00:00","72.36","43","overcast clouds","10.25","97","0.0",,"forecast"
"Atlanta","2025-08-26 06:00:00","69.17","48","broken clouds","9.06","67","0.0",,"forecast"
"Atlanta","2025-08-23 06:00:00","69.94","96","light rain","5.99","94","1.0","1.59","forecast"
"Atlanta","2025-08-23 15:00:00","73.38","89","light rain","6.71","100","1.0","1.2","forecast"
"Atlanta","2025-08-23 03:00:00","73.72","90","overcast clouds","6.15","100","0.0",,"forecast"
"Atlanta","2025-08-24 03:00:00","74.08","85","scattered clouds","6.26","36","0.0",,"forecast"
"Atlanta","2025-08-23 18:00:00","78.75","76","moderate rain","6.93","63","1.0","3.09","forecast"
"Atlanta","2025-08-27 00:00:00","74.77","36","overcast clouds","8.12","100","0.0",,"forecast"
"Atlanta","2025-08-24 09:00:00","70.36","94","broken clouds","3.33","77","0.0",,"forecast"
"Atlanta","2025-08-25 09:00:00","72.52","77","clear sky","6.89","0","0.0",,"forecast"
"Atlanta","2025-08-26 06:00:00","71.37","41","scattered clouds","9.01","40","0.0",,"forecast"
"Atlanta","2025-08-26 03:00:00","72.21","43","broken clouds","9.31","68","0.0",,"forecast"
"Atlanta","2025-08-26 15:00:00","78.06","29","overcast clouds","4.68","100","0.0",,"forecast"
"Atlanta","2025-08-23 03:00:00","71.74","91","moderate rain","6.24","100","1.0","3.57","forecast"
"Atlanta","2025-08-25 12:00:00","70.14","64","clear sky","7.29","0","0.0",,"forecast"
"Atlanta","2025-08-23 15:00:00","77.95","69","overcast clouds","7.43","86","0.0",,"forecast"
"Atlanta","2025-08-23 06:00:00","71.91","92","overcast clouds","6.55","100","0.0",,"forecast"
"Atlanta","2025-08-26 18:00:00","80.92","32","overcast clouds","6.42","100","0.0",,"forecast"
"Atlanta","2025-08-26 06:00:00","72.36","43","overcast clouds","10.25","97","0.0",,"forecast"
"Atlanta","2025-08-26 06:00:00","69.17","48","broken clouds","9.06","67","0.0",,"forecast"
"Atlanta","2025-08-26 12:00:00","68.18","42","scattered clouds","7.0","44","0.0",,"forecast"
"Atlanta","2025-08-25 09:00:00","71.29","86","clear sky","5.64","5","0.0",,"forecast"
"Atlanta","2025-08-26 18:00:00","77.63","30","overcast clouds","5.37","97","0.0",,"forecast"
"Atlanta","2025-08-26 00:00:00","80.51","32","broken clouds","10.92","58","0.0",,"forecast"
"Atlanta","2025-08-24 03:00:00","73.51","89","overcast clouds","5.93","90","0.35",,"forecast"
"Atlanta","2025-08-22 12:00:00","68.32","90","light rain","4.7","67","0.28","0.46","forecast"
"Atlanta","2025-08-23 00:00:00","66.34","89","light rain","5.84","100","1.0","2.3","forecast"
"Atlanta","2025-08-25 00:00:00","77.13","80","light rain","5.61","62","1.0","2.47","forecast"
"Atlanta","2025-08-23 06:00:00","71.46","94","overcast clouds","5.84","90","0.0",,"forecast"
"Atlanta","2025-08-26 21:00:00","78.28","28","overcast clouds","9.78","100","0.0",,"forecast"
"Atlanta","2025-08-26 03:00:00","71.98","42","broken clouds","10.31","66","0.0",,"forecast"
"Atlanta","2025-08-25 18:00:00","88.43","25","clear sky","10.47","0","0.0",,"forecast"
"Atlanta","2025-08-22 15:00:00","73.08","81","light rain","7.07","79","1.0","2.38","forecast"
"Atlanta","2025-08-25 18:00:00","89.22","28","clear sky","9.26","1","0.0",,"forecast"
"Atlanta","2025-08-25 03:00:00","77.18","71","light rain","3.71","0","0.36","0.14","forecast"
"Atlanta","2025-08-27 03:00:00","72.57","40","scattered clouds","7.38","49","0.0",,"forecast"
"Atlanta","2025-08-25 06:00:00","75.72","65","broken clouds","5.88","55","0.0",,"forecast"
"Atlanta","2025-08-24 03:00:00","73.45","89","light rain","5.41","14","0.95","1.11","forecast"
"Atlanta","2025-08-23 21:00:00","79.63","72","light rain","6.76","100","1.0","1.19","forecast"
"Atlanta","2025-08-27 09:00:00","61.79","68","clear sky","4.12","0","0.0",,"forecast"
"Atlanta","2025-08-27 18:00:00","79.75","33","clear sky","7.34","0","0.0",,"forecast"
